authors	rank_occ	rank_gcs	OCC	global_citations	h_index	g_index	m_index
Sutopo W.	1	43	6	51	3	3	0.5
Yuniaristanto	2	44	5	51	3	3	0.5
Jou R.-C.	3	149	5	9	1	1	0.05
Wadud Z.	4	1	3	182	3	2	0.5
Bhaduri E.	5	2	3	181	3	2	0.5
Kishore Goswami A.	6	3	3	181	3	2	0.5
Campisi T.	7	18	3	81	2	1	0.4
Hisjam M.	8	98	3	24	2	2	0.5
Bhat F.A.	9	124	3	18	3	2	1.0
Verma A.	10	125	3	18	3	2	1.0
Choudhury C.F.	11	4	2	178	2	2	0.33
Manoj B.S.	12	5	2	173	2	1	0.33
Abdullah M.	13	12	2	102	2	2	0.4
Dias C.	14	13	2	102	2	2	0.4
Ainy E.	15	45	2	51	2	1	0.17
Ganjali M.	16	46	2	51	2	1	0.17
Soori H.	17	47	2	51	2	1	0.17
Marisamynathan S.	18	69	2	38	2	2	0.5
Murugan M.	19	70	2	38	2	2	0.5
Kourtit K.	20	126	2	18	1	1	0.33
Nijkamp P.	21	127	2	18	1	1	0.33
Wicaksono H.	22	131	2	15	2	1	1.0
Irawan M.Z.	23	143	2	13	1	1	0.25
Esztergár-Kiss D.	24	246	2	2	1	1	0.5
Chen T.-Y.	25	265	2	1	1	1	0.33
Piantanakulchai M.	26	266	2	1	1	1	0.2
Erenstein O.	27	6	1	141	1	1	0.1
Krupnik T.J.	28	7	1	141	1	1	0.1
Mottaleb K.A.	29	8	1	141	1	1	0.1
Axhausen K.W.	30	9	1	131	1	1	0.25
Martin H.	31	10	1	131	1	1	0.25
Reck D.J.	32	11	1	131	1	1	0.25
Chen P.-C.	33	14	1	102	1	1	0.12
Hsu S.-C.	34	15	1	102	1	1	0.12
Lee W.-Y.	35	16	1	102	1	1	0.12
Lu M.	36	17	1	102	1	1	0.12
Ali N.	37	19	1	77	1	1	0.2
Borken-Kleefeld J.	38	20	1	77	1	1	0.07
Evans A.W.	39	21	1	77	1	1	0.06
Horowitz L.W.	40	22	1	77	1	1	0.07
Javid M.A.	41	23	1	77	1	1	0.2
Kurokawa J.	42	24	1	77	1	1	0.07
Law T.H.	43	25	1	77	1	1	0.06
Mauzerall D.L.	44	26	1	77	1	1	0.07
Noland R.B.	45	27	1	77	1	1	0.06
Ohara T.	46	28	1	77	1	1	0.07
Saikawa E.	47	29	1	77	1	1	0.07
Takigawa M.	48	30	1	77	1	1	0.07
Chow J.Y.J.	49	31	1	57	1	1	0.2
He B.Y.	50	32	1	57	1	1	0.2
Lee M.	51	33	1	57	1	1	0.2
Yoon G.	52	34	1	57	1	1	0.2
Champahom T.	53	35	1	52	1	1	0.25
Jomnonkwao S.	54	36	1	52	1	1	0.25
Kronprasert N.	55	37	1	52	1	1	0.25
Ratanavaraha V.	56	38	1	52	1	1	0.25
Se C.	57	39	1	52	1	1	0.25
Belgiawan P.F.	58	40	1	52	1	1	0.1
Fujii S.	59	41	1	52	1	1	0.1
Schmöcker J.-D.	60	42	1	52	1	1	0.1
Chakrabarty S.	61	48	1	50	1	1	0.17
Kumar P.	62	49	1	50	1	1	0.17
Justice S.E.	63	50	1	49	1	1	0.14
Kc D.B.	64	51	1	49	1	1	0.14
Khanal N.P.	65	52	1	49	1	1	0.14
Mcdonald A.J.	66	53	1	49	1	1	0.14
Paudel G.P.	67	54	1	49	1	1	0.14
Rahut D.B.	68	55	1	49	1	1	0.14
Ch. Anastasopoulos P.	69	56	1	48	1	1	0.17
Guo Y.	70	57	1	48	1	1	0.17
Peeta S.	71	58	1	48	1	1	0.17
Wang J.	72	59	1	48	1	1	0.17
Baghfalaki T.	73	60	1	48	1	1	0.08
Balijepalli C.	74	61	1	48	1	1	0.12
Farda M.	75	62	1	48	1	1	0.12
Le H.	76	63	1	48	1	1	0.08
Agarwal A.	77	64	1	43	1	1	0.17
Nagel K.	78	65	1	43	1	1	0.17
Ziemke D.	79	66	1	43	1	1	0.17
Gulati M.	80	67	1	39	1	1	0.08
Tiwari P.	81	68	1	39	1	1	0.08
Cai H.	82	71	1	36	1	1	0.08
Olfindo R.	83	72	1	36	1	1	0.2
Xie S.	84	73	1	36	1	1	0.08
Chen C.-F.	85	74	1	35	1	1	0.2
Eccarius T.	86	75	1	35	1	1	0.2
Su P.-C.	87	76	1	35	1	1	0.2
Annema J.A.	88	77	1	32	1	1	0.33
Araghi Y.	89	78	1	32	1	1	0.33
Homem De Almeida Correia G.	90	79	1	32	1	1	0.33
Van 'T Veer R.	91	80	1	32	1	1	0.33
Van Wee B.	92	81	1	32	1	1	0.33
Basbas S.	93	82	1	31	1	1	0.33
Nikiforiadis A.	94	83	1	31	1	1	0.33
Paloka N.	95	84	1	31	1	1	0.33
Paschalidis E.	96	85	1	31	1	1	0.33
Stamatiadis N.	97	86	1	31	1	1	0.33
Tsekoura E.	98	87	1	31	1	1	0.33
Kato H.	99	88	1	29	1	1	0.12
Phun V.K.	100	89	1	29	1	1	0.12
