countries	OCC	global_citations	local_citations
India	17	345	2
United States	14	429	1
Japan	14	267	0
Indonesia	14	117	5
United Kingdom	12	404	0
Taiwan	9	148	3
Netherlands	7	85	0
China	6	106	1
Vietnam	6	32	0
Australia	5	131	0
Iran	5	75	0
Thailand	5	53	1
Pakistan	4	103	2
Italy	4	81	0
Hungary	4	23	0
Austria	3	208	1
Germany	3	58	0
Norway	3	27	0
Mexico	2	190	1
Qatar	2	102	2
New Zealand	2	39	2
Greece	2	35	0
Colombia	2	32	0
France	2	23	0
Turkey	2	21	0
South Korea	2	15	0
Spain	2	9	0
Ghana	2	7	0
Belgium	2	5	0
Malaysia	2	1	0
Bangladesh	1	141	1
Switzerland	1	131	1
Hong Kong	1	102	0
Oman	1	77	0
Nepal	1	49	0
South Africa	1	39	0
Singapore	1	25	2
Luxembourg	1	24	0
Palestine	1	20	0
Slovakia	1	19	1
Romania	1	18	0
Canada	1	10	0
Chile	1	8	0
Cameroon	1	6	0
Kuwait	1	3	0
Brazil	1	2	0
Azerbaijan	1	1	0
Croatia	1	0	0
